순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-TRX,트론,485.0,강력매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.47,0.71,0.69,100.3,70
2,KRW-SUN,썬,26.8,강력매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.18,0.53,0.18,100.4,70
3,KRW-JST,저스트,152.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.3,0.5,0.53,130.0,60
4,KRW-NEAR,니어프로토콜,2624.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),2,0.54,0.57,0.57,104.9,50
5,KRW-UNI,유니스왑,5375.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.32,0.31,0.54,108.0,50
6,KRW-PENDLE,펜들,2161.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.57,0.4,0.5,102.9,50
7,KRW-ORCA,오르카,1738.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.25,0.12,0.33,100.7,50
8,KRW-INJ,인젝티브,7430.0,매수,3차 진입 (상승 추세 진행),1차 진입 (VCP 압축 완료),1,0.32,0.94,1.08,118.7,40
9,KRW-JTO,지토,862.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),3,0.37,0.28,0.24,123.9,40
10,KRW-MMT,모멘텀,256.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.25,0.25,0.19,126.5,40
11,KRW-HOLO,홀로월드에이아이,98.6,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.73,1.23,0.36,102.0,10
12,KRW-ONDO,온도파이낸스,562.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.26,1.12,0.58,119.3,0
