순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-SUN,썬,26.9,강력매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.26,0.57,0.34,101.0,70
2,KRW-JST,저스트,149.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.25,0.59,0.54,129.3,60
3,KRW-NEAR,니어프로토콜,2739.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.38,0.54,0.89,110.5,50
4,KRW-XLM,스텔라루멘,272.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.12,0.41,0.62,104.0,50
5,KRW-JUP,주피터,278.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.36,0.61,0.53,100.3,50
6,KRW-PENDLE,펜들,2379.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.33,0.47,0.53,113.6,50
7,KRW-WLD,월드코인,560.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.15,0.26,0.37,104.7,50
8,KRW-UNI,유니스왑,5535.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.33,0.32,0.35,111.2,50
9,KRW-ORCA,오르카,1731.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.25,0.17,0.3,100.8,50
10,KRW-INJ,인젝티브,7490.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.37,0.76,0.89,120.8,40
11,KRW-JTO,지토,894.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),3,0.44,0.19,0.47,130.2,40
12,KRW-MMT,모멘텀,258.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.35,0.36,0.23,128.5,40
13,KRW-ONDO,온도파이낸스,602.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.52,1.22,1.51,128.7,30
14,KRW-AERO,에어로드롬파이낸스,628.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.6,1.37,0.57,102.6,10
