순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-UNI,유니스왑,7770.0,매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.3,1.39,2.22,154.3,50
2,KRW-AWE,에이더블유이,86.1,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.35,0.85,0.59,104.1,50
3,KRW-BSV,비트코인에스브이,21860.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.41,0.78,0.39,103.6,50
4,KRW-PLUME,플룸,20.1,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.52,0.82,0.68,115.8,40
5,KRW-JST,저스트,139.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,2,0.83,1.72,1.36,105.1,30
6,KRW-PENDLE,펜들,2491.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.46,1.87,0.69,114.7,10
7,KRW-AERO,에어로드롬파이낸스,682.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.22,1.83,0.59,105.4,10
8,KRW-PYTH,피스네트워크,68.8,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.4,3.25,0.5,108.4,10
9,KRW-PENGU,펏지펭귄,12.1,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.72,1.08,0.43,111.0,10
10,KRW-RAY,레이디움,1138.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.81,5.77,0.35,113.3,10
11,KRW-FF,팔콘파이낸스,115.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.83,2.72,0.27,106.1,10
12,KRW-ENA,에테나,207.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.5,2.46,0.62,143.9,0
13,KRW-ETH,이더리움,3414000.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.19,1.44,0.52,115.1,0
14,KRW-AAVE,에이브,174500.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.58,1.23,0.43,129.9,0
15,KRW-LINK,체인링크,15820.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.22,1.17,0.4,120.5,0
16,KRW-ONG,온톨로지가스,141.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.27,3.03,0.4,154.7,0
17,KRW-MET2,메테오라,271.0,약한매수,2차 진입 (지선 눌림목),대기 및 추세 관망,1,1.08,0.5,0.18,118.6,0
