순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,150.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.48,0.57,0.52,122.4,60
2,KRW-ONDO,온도파이낸스,529.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.57,0.88,0.44,109.2,50
3,KRW-INJ,인젝티브,6700.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.76,0.52,0.23,103.9,50
4,KRW-KAITO,카이토,1308.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.71,0.86,0.31,160.9,40
5,KRW-MMT,모멘텀,224.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,2.39,9.4,0.72,107.3,10
6,KRW-PUMP,펌프펀,3.33,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.89,1.15,1.46,127.5,0
7,KRW-UNI,유니스왑,5800.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.68,1.38,1.0,116.3,0
