순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-UNI,유니스왑,8650.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.26,0.78,0.56,159.2,60
2,KRW-PENDLE,펜들,3057.0,매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,2,0.53,1.27,1.54,133.6,50
3,KRW-ETH,이더리움,3290000.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.16,0.84,0.96,111.0,50
4,KRW-SOL,솔라나,132900.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.2,0.56,0.55,110.9,50
5,KRW-ESP,에스프레소,113.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.52,0.21,0.5,107.9,50
6,KRW-INJ,인젝티브,7490.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.58,0.62,0.43,105.1,50
7,KRW-STX,스택스,330.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.21,0.52,0.39,113.2,50
8,KRW-PYTH,피스네트워크,72.6,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.3,0.51,0.27,113.0,50
9,KRW-EGLD,멀티버스엑스,5230.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.66,0.89,0.21,104.6,50
10,KRW-AWE,에이더블유이,84.6,매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.68,2.28,5.75,101.5,40
11,KRW-AAVE,에이브,165200.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.17,0.68,0.53,120.4,40
12,KRW-ENA,에테나,191.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.26,0.74,0.47,127.2,40
13,KRW-PUMP,펌프펀,4.8,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.37,0.55,0.28,146.4,40
14,KRW-SKR,시커,25.4,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.22,0.27,0.08,145.8,40
15,KRW-FF,팔콘파이낸스,189.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,2,0.79,1.87,2.34,164.2,30
16,KRW-JST,저스트,158.0,약한매수,2차 진입 (지선 눌림목),2차 진입 (피벗 돌파 임박),2,1.02,0.88,1.17,115.5,20
17,KRW-LINK,체인링크,14850.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.46,1.0,0.89,111.1,10
18,KRW-AERO,에어로드롬파이낸스,729.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.65,1.74,0.64,109.4,10
19,KRW-JUP,주피터,294.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,2,0.49,1.5,0.42,100.5,10
20,KRW-MET2,메테오라,270.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.56,3.81,0.27,114.5,10
21,KRW-MINA,미나,112.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.78,1.82,0.94,144.4,0
22,KRW-ARB,아비트럼,210.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.45,1.43,0.88,142.9,0
23,KRW-NEAR,니어프로토콜,3203.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.35,1.42,0.58,116.5,0
24,KRW-RAY,레이디움,1758.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.22,4.09,0.1,163.8,0
