순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-MMT,모멘텀,228.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.48,0.21,0.1,103.7,50
2,KRW-ONG,온톨로지가스,158.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,7.02,7.01,2.91,174.4,30
3,KRW-ENA,에테나,226.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,5.27,5.27,2.14,159.5,30
4,KRW-JST,저스트,134.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,2,1.34,1.92,1.25,102.2,30
5,KRW-AWE,에이더블유이,87.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.77,1.21,0.97,105.6,10
6,KRW-BSV,비트코인에스브이,23190.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.87,2.67,0.73,109.8,10
7,KRW-PLUME,플룸,19.1,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.83,1.15,0.53,111.0,10
8,KRW-LINK,체인링크,16200.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.13,2.63,0.75,124.0,0
9,KRW-MET2,메테오라,296.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.78,2.45,0.33,130.6,0
