순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,143.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.33,0.68,0.96,121.3,60
2,KRW-UNI,유니스왑,5655.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.38,0.69,1.06,113.6,50
3,KRW-AERO,에어로드롬파이낸스,641.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.34,0.57,0.74,104.1,50
4,KRW-JTO,지토,787.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),3,0.37,0.39,0.66,112.2,50
5,KRW-PENDLE,펜들,2156.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.6,0.56,0.5,102.4,50
6,KRW-MMT,모멘텀,276.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.33,0.24,0.42,135.6,40
7,KRW-HOLO,홀로월드에이아이,101.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.98,1.49,1.04,104.3,10
8,KRW-INJ,인젝티브,6680.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.17,1.04,0.82,106.2,10
9,KRW-ONDO,온도파이낸스,597.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.34,1.23,1.2,125.9,0
