순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-STX,스택스,425.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.7,0.75,0.59,143.2,60
2,KRW-BSV,비트코인에스브이,28740.0,매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,3.18,7.27,9.35,135.8,50
3,KRW-ONDO,온도파이낸스,732.0,매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,3.4,2.29,3.19,139.6,50
4,KRW-PYTH,피스네트워크,93.1,매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),1,1.04,1.2,1.5,143.0,50
5,KRW-WLD,월드코인,593.0,매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.96,1.35,1.58,106.9,40
6,KRW-PUMP,펌프펀,5.36,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.38,0.56,1.09,154.9,40
7,KRW-SOL,솔라나,158900.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.84,0.89,0.92,130.8,40
8,KRW-ETH,이더리움,3653000.0,매수,3차 진입 (상승 추세 진행),1차 진입 (VCP 압축 완료),1,0.75,0.94,0.72,122.8,40
9,KRW-FLOCK,플록,96.6,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.34,0.48,0.41,144.9,40
10,KRW-FF,팔콘파이낸스,186.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.14,0.84,0.37,155.8,40
11,KRW-ORCA,오르카,2146.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),3,0.75,0.27,0.29,115.2,40
12,KRW-VTHO,비토르토큰,1.02,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.25,0.4,0.24,157.9,40
13,KRW-KAVA,카바,96.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.21,0.38,0.22,130.1,40
14,KRW-SKR,시커,27.5,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.12,0.16,0.2,156.1,40
15,KRW-SUPER,슈퍼버스,234.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.22,2.97,7.48,155.4,30
16,KRW-EGLD,멀티버스엑스,7130.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.98,11.45,6.49,142.3,30
17,KRW-MET2,메테오라,449.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.81,1.0,1.95,183.2,30
18,KRW-XEC,이캐시,0.0123,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.25,1.91,1.84,127.1,30
19,KRW-AAVE,에이브,197100.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.65,1.53,1.56,140.5,30
20,KRW-JST,저스트,157.0,약한매수,3차 진입 (상승 추세 진행),2차 진입 (피벗 돌파 임박),2,0.5,1.13,0.91,113.0,30
21,KRW-PLUME,플룸,24.1,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,2.49,0.73,1.03,136.1,20
22,KRW-LINK,체인링크,18250.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,1.02,1.1,1.02,134.5,20
23,KRW-PENDLE,펜들,3472.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,0.45,1.07,0.99,145.9,20
24,KRW-TIA,셀레스티아,663.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,2,1.86,1.89,0.98,122.6,20
25,KRW-JUP,주피터,421.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),3,1.33,1.19,0.79,140.2,20
26,KRW-ENA,에테나,301.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),3,1.19,1.22,0.77,191.6,20
27,KRW-AERO,에어로드롬파이낸스,981.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,1.0,1.12,0.74,143.6,20
28,KRW-INJ,인젝티브,10800.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),4,1.62,1.59,0.61,145.3,20
29,KRW-ARB,아비트럼,295.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,2,0.64,1.76,0.57,192.4,20
30,KRW-AWE,에이더블유이,88.6,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.64,1.28,0.62,105.6,10
31,KRW-POL,폴리곤에코시스템토큰,147.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.43,1.3,1.2,117.2,0
32,KRW-VET,비체인,12.6,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.81,1.08,0.83,148.8,0
33,KRW-ESP,에스프레소,131.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.96,3.23,0.52,123.6,0
34,KRW-ENSO,엔소,1394.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.14,2.87,0.43,120.3,0
35,KRW-G,그래비티,7.85,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,10.43,14.54,0.36,148.3,0
