순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-MMT,모멘텀,224.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.48,0.22,0.13,102.0,50
2,KRW-ONG,온톨로지가스,167.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,8.01,7.39,3.5,185.4,30
3,KRW-JST,저스트,138.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,2,1.23,1.71,0.83,105.5,30
4,KRW-AWE,에이더블유이,86.3,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.92,1.1,0.82,104.8,10
5,KRW-BSV,비트코인에스브이,23610.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.16,2.55,0.77,111.9,10
6,KRW-PLUME,플룸,19.6,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.92,1.17,0.55,114.0,10
7,KRW-ENA,에테나,207.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,6.11,4.16,0.93,146.9,0
8,KRW-LINK,체인링크,16290.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.74,2.61,0.91,124.9,0
9,KRW-MET2,메테오라,290.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.36,2.47,0.58,128.4,0
