순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-MMT,모멘텀,225.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.41,0.19,0.13,101.9,50
2,KRW-PLUME,플룸,20.1,매수,3차 진입 (상승 추세 진행),1차 진입 (VCP 압축 완료),1,0.67,0.94,0.38,116.3,40
3,KRW-ENA,에테나,223.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.36,4.92,1.78,156.1,30
4,KRW-JST,저스트,133.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,2,1.2,2.12,1.37,101.1,30
5,KRW-AWE,에이더블유이,86.9,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.63,1.13,0.64,105.2,10
6,KRW-BSV,비트코인에스브이,23340.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.43,2.05,0.36,110.4,10
7,KRW-ONG,온톨로지가스,164.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,3.76,5.09,0.85,179.3,0
8,KRW-UNI,유니스왑,6840.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.74,1.48,0.7,136.9,0
9,KRW-LINK,체인링크,15890.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.32,2.05,0.45,121.3,0
10,KRW-MET2,메테오라,276.0,약한매수,2차 진입 (지선 눌림목),대기 및 추세 관망,1,1.15,0.86,0.17,121.3,0
