순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,149.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.34,0.72,0.65,124.2,60
2,KRW-JTO,지토,738.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.54,0.33,0.51,103.9,50
3,KRW-MMT,모멘텀,272.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.45,4.15,13.55,131.4,30
4,KRW-UNI,유니스왑,6185.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.84,1.21,1.7,124.0,30
5,KRW-INJ,인젝티브,7020.0,약한매수,2차 진입 (지선 눌림목),대기 및 추세 관망,1,1.05,0.79,0.46,110.5,10
6,KRW-ONDO,온도파이낸스,565.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.38,1.01,0.7,117.9,0
