순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,144.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.28,0.75,0.87,121.6,60
2,KRW-JTO,지토,768.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),3,0.45,0.41,0.73,109.1,50
3,KRW-UNI,유니스왑,5510.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.27,0.74,0.71,110.7,50
4,KRW-MMT,모멘텀,257.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.34,0.27,0.52,125.9,40
5,KRW-HOLO,홀로월드에이아이,102.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.84,1.48,1.03,105.2,10
6,KRW-INJ,인젝티브,6445.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.57,1.05,0.76,102.2,10
7,KRW-ONDO,온도파이낸스,576.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.02,1.23,1.06,121.2,0
