순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,146.0,강력매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.92,0.81,1.35,113.3,70
2,KRW-PUMP,펌프펀,5.29,매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),1,1.26,1.6,2.93,193.9,50
3,KRW-JTO,지토,791.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.18,0.54,0.8,104.6,50
4,KRW-MMT,모멘텀,244.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.34,0.39,0.12,112.5,50
5,KRW-MET2,메테오라,301.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.92,1.29,7.87,135.5,30
6,KRW-AWE,에이더블유이,90.6,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.84,1.15,0.75,110.8,10
