순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-PUMP,펌프펀,4.39,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.49,0.9,1.05,162.3,60
2,KRW-JTO,지토,803.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.17,0.52,0.41,106.5,50
3,KRW-MMT,모멘텀,254.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.61,0.6,0.1,117.4,40
4,KRW-MET2,메테오라,296.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.63,0.66,2.98,133.7,30
5,KRW-JST,저스트,145.0,약한매수,2차 진입 (지선 눌림목),2차 진입 (피벗 돌파 임박),2,1.14,0.82,1.1,112.9,30
6,KRW-AWE,에이더블유이,86.5,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.67,1.05,0.56,105.9,10
