순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,151.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.45,0.73,0.43,124.2,60
2,KRW-JTO,지토,729.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.38,0.33,0.36,101.7,50
3,KRW-INJ,인젝티브,7115.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.83,0.58,0.31,111.0,50
4,KRW-MMT,모멘텀,222.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.82,8.52,1.28,106.7,10
5,KRW-UNI,유니스왑,5540.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.73,1.37,0.77,111.1,10
6,KRW-ONDO,온도파이낸스,524.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.62,1.02,0.49,108.7,10
7,KRW-KAITO,카이토,1281.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.9,1.12,0.69,159.6,0
