순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-SUN,썬,26.7,강력매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.25,0.51,0.22,100.2,70
2,KRW-JST,저스트,148.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.25,0.55,0.33,127.9,60
3,KRW-NEAR,니어프로토콜,2760.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.37,0.53,0.79,110.9,50
4,KRW-XLM,스텔라루멘,267.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.17,0.42,0.67,102.0,50
5,KRW-PENDLE,펜들,2313.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.27,0.5,0.52,110.3,50
6,KRW-UNI,유니스왑,5515.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.36,0.32,0.47,110.7,50
7,KRW-WLD,월드코인,558.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.11,0.24,0.43,104.3,50
8,KRW-ORCA,오르카,1757.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.24,0.18,0.41,102.1,50
9,KRW-HOLO,홀로월드에이아이,97.3,매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.08,1.24,2.6,100.8,40
10,KRW-INJ,인젝티브,7845.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.41,0.72,0.86,126.0,40
11,KRW-JTO,지토,914.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),3,0.44,0.2,0.47,132.5,40
12,KRW-MMT,모멘텀,262.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.24,0.34,0.19,130.1,40
13,KRW-AERO,에어로드롬파이낸스,636.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.61,1.37,0.55,103.7,10
14,KRW-ONDO,온도파이낸스,589.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.25,1.31,1.05,125.6,0
