순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-HOLO,홀로월드에이아이,135.0,매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),1,2.33,1.6,2.87,137.7,50
2,KRW-JTO,지토,799.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),3,0.33,0.39,1.12,108.7,50
3,KRW-AWE,에이더블유이,83.9,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.34,0.34,0.54,103.2,50
4,KRW-KAITO,카이토,890.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.62,0.59,0.49,107.1,50
5,KRW-JST,저스트,141.0,약한매수,2차 진입 (지선 눌림목),2차 진입 (피벗 돌파 임박),2,1.02,0.46,0.61,112.6,30
6,KRW-PUMP,펌프펀,3.94,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.01,1.46,0.87,149.2,20
7,KRW-MMT,모멘텀,286.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.02,2.55,1.1,134.3,0
