순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,148.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.45,0.67,0.5,121.3,60
2,KRW-ONDO,온도파이낸스,544.0,매수,3차 진입 (상승 추세 진행),1차 진입 (VCP 압축 완료),1,0.53,0.99,0.46,112.5,50
3,KRW-JTO,지토,723.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.3,0.4,0.38,100.5,50
4,KRW-INJ,인젝티브,6920.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.72,0.57,0.25,107.6,50
5,KRW-KAITO,카이토,1338.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.86,0.92,0.55,165.6,40
6,KRW-MMT,모멘텀,217.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,2.01,8.79,0.8,104.2,10
7,KRW-UNI,유니스왑,5595.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.74,1.29,0.67,112.2,10
8,KRW-PUMP,펌프펀,3.5,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.94,1.3,1.18,134.1,0
