순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,153.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.32,0.56,0.76,130.3,60
2,KRW-UNI,유니스왑,5670.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.43,0.54,0.85,113.9,50
3,KRW-NEAR,니어프로토콜,2681.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),2,0.52,0.59,0.46,106.9,50
4,KRW-XLM,스텔라루멘,264.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.33,0.44,0.41,100.6,50
5,KRW-ORCA,오르카,1734.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.25,0.16,0.34,100.3,50
6,KRW-PENDLE,펜들,2263.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.5,0.48,0.32,107.5,50
7,KRW-AERO,에어로드롬파이낸스,641.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.39,0.54,0.19,104.2,50
8,KRW-JTO,지토,879.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),3,0.33,0.3,0.21,125.8,40
9,KRW-MMT,모멘텀,252.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.27,0.19,0.15,124.2,40
10,KRW-INJ,인젝티브,7140.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.58,1.0,0.76,113.8,10
11,KRW-HOLO,홀로월드에이아이,105.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.13,1.33,0.66,108.5,10
12,KRW-ONDO,온도파이낸스,591.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.38,1.11,0.65,125.0,0
