순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,146.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.34,0.7,0.75,122.3,60
2,KRW-JTO,지토,718.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.59,0.33,0.52,101.4,50
3,KRW-MMT,모멘텀,422.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.44,1.17,3.72,203.7,30
4,KRW-UNI,유니스왑,6355.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.84,1.09,1.68,127.4,30
5,KRW-INJ,인젝티브,7070.0,약한매수,2차 진입 (지선 눌림목),대기 및 추세 관망,1,1.13,0.85,0.66,111.5,10
6,KRW-ONDO,온도파이낸스,581.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.5,1.1,0.8,121.5,0
