순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-PLUME,플룸,20.5,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.62,0.89,0.47,118.3,40
2,KRW-UNI,유니스왑,7100.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.97,1.71,1.96,141.6,30
3,KRW-PENGU,펏지펭귄,12.1,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.0,1.53,0.45,111.2,10
4,KRW-PENDLE,펜들,2388.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.51,2.04,0.42,110.3,10
5,KRW-AWE,에이더블유이,86.8,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.44,1.02,0.38,105.0,10
6,KRW-BSV,비트코인에스브이,22430.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.27,1.13,0.33,106.1,10
7,KRW-ENA,에테나,207.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.7,3.39,0.84,144.4,0
8,KRW-ONG,온톨로지가스,132.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.66,3.44,0.72,144.6,0
9,KRW-LINK,체인링크,15560.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.26,1.63,0.39,118.7,0
10,KRW-PUMP,펌프펀,5.95,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.53,2.26,0.34,198.5,0
11,KRW-FF,팔콘파이낸스,131.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,3.04,3.11,0.25,120.8,0
12,KRW-MET2,메테오라,263.0,약한매수,2차 진입 (지선 눌림목),대기 및 추세 관망,1,1.27,0.67,0.17,115.4,0
