순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JTO,지토,798.0,강력매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.41,0.87,2.08,104.9,80
2,KRW-JST,저스트,147.0,매수,3차 진입 (상승 추세 진행),2차 진입 (피벗 돌파 임박),2,0.94,1.23,2.66,113.4,60
3,KRW-MMT,모멘텀,238.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.32,0.33,0.28,109.2,50
4,KRW-AWE,에이더블유이,87.9,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.17,1.3,1.41,107.2,10
5,KRW-PLUME,플룸,18.3,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.02,1.78,0.87,107.1,10
6,KRW-MET2,메테오라,304.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.27,1.49,1.16,136.1,0
