순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JTO,지토,901.0,강력매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),3,0.53,0.74,1.56,118.6,70
2,KRW-JST,저스트,146.0,매수,3차 진입 (상승 추세 진행),2차 진입 (피벗 돌파 임박),2,0.8,1.06,1.73,113.0,60
3,KRW-PUMP,펌프펀,5.82,매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),1,1.7,1.87,3.16,211.6,50
4,KRW-MMT,모멘텀,261.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.37,0.34,0.15,120.0,40
5,KRW-MET2,메테오라,309.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.14,1.41,7.67,138.8,30
6,KRW-AWE,에이더블유이,93.3,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.12,1.21,1.04,113.9,10
7,KRW-PLUME,플룸,20.6,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.31,1.81,0.87,120.6,0
