순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,148.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.47,0.53,0.31,120.3,60
2,KRW-ONDO,온도파이낸스,496.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.65,0.81,0.51,102.2,50
3,KRW-KAITO,카이토,1278.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.66,0.79,0.22,156.3,40
4,KRW-UNI,유니스왑,5680.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.69,1.35,1.05,113.9,10
5,KRW-MMT,모멘텀,235.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,2.29,10.07,0.99,112.3,10
6,KRW-PUMP,펌프펀,3.33,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.91,1.37,0.87,127.4,0
