순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JTO,지토,827.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),3,0.41,0.41,0.8,112.1,50
2,KRW-AWE,에이더블유이,82.8,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.31,0.39,0.67,101.9,50
3,KRW-HOLO,홀로월드에이아이,98.6,매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.13,2.4,5.93,100.8,40
4,KRW-JST,저스트,142.0,약한매수,2차 진입 (지선 눌림목),2차 진입 (피벗 돌파 임박),2,1.05,0.48,0.9,113.1,30
5,KRW-INJ,인젝티브,6580.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.0,0.5,0.6,100.8,10
6,KRW-MMT,모멘텀,260.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.93,2.42,0.73,121.9,0
7,KRW-PUMP,펌프펀,3.87,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.85,1.41,0.44,146.3,0
