순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-AAVE,에이브,194900.0,강력매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.42,0.81,1.52,141.0,70
2,KRW-LINK,체인링크,16860.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.4,0.81,1.0,125.6,60
3,KRW-ARB,아비트럼,288.0,매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.99,1.58,1.55,193.4,50
4,KRW-INJ,인젝티브,10180.0,매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),4,1.09,0.82,1.54,141.2,50
5,KRW-EGLD,멀티버스엑스,5570.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.38,0.78,0.24,111.7,50
6,KRW-ORCA,오르카,1983.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),2,0.49,0.34,0.11,106.9,50
7,KRW-ETH,이더리움,3594000.0,매수,3차 진입 (상승 추세 진행),1차 진입 (VCP 압축 완료),1,0.32,0.94,1.11,121.2,40
8,KRW-SOL,솔라나,153100.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.49,0.66,1.11,127.3,40
9,KRW-PYTH,피스네트워크,81.9,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.59,0.53,1.02,127.0,40
10,KRW-PUMP,펌프펀,5.58,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.35,0.41,0.9,167.1,40
11,KRW-ENA,에테나,241.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),3,0.4,0.69,0.82,159.0,40
12,KRW-STX,스택스,381.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.24,0.48,0.8,130.3,40
13,KRW-FLOCK,플록,98.8,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.43,0.77,0.22,148.4,40
14,KRW-SKR,시커,27.2,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.12,0.13,0.06,155.3,40
15,KRW-G,그래비티,10.7,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,10.77,7.6,12.24,207.3,30
16,KRW-ESP,에스프레소,135.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.73,1.06,5.72,128.4,30
17,KRW-AERO,에어로드롬파이낸스,918.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,0.81,1.15,1.43,136.5,20
18,KRW-UNI,유니스왑,12290.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,0.94,1.03,1.4,220.4,20
19,KRW-PENDLE,펜들,3674.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,0.89,1.23,1.2,158.4,20
20,KRW-JST,저스트,160.0,약한매수,3차 진입 (상승 추세 진행),2차 진입 (피벗 돌파 임박),2,1.04,0.97,0.83,116.3,20
21,KRW-JUP,주피터,365.0,약한매수,3차 진입 (상승 추세 진행),2차 진입 (피벗 돌파 임박),2,0.64,1.11,0.81,123.9,20
22,KRW-MINA,미나,144.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),1,0.68,1.33,0.74,183.1,20
23,KRW-RAY,레이디움,2412.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),2,0.97,1.76,0.5,219.2,20
24,KRW-AWE,에이더블유이,95.3,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.91,2.4,0.77,113.9,10
25,KRW-PLUME,플룸,19.4,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.8,2.19,0.38,110.1,10
26,KRW-MET2,메테오라,358.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.99,3.93,0.57,150.6,0
27,KRW-FF,팔콘파이낸스,173.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,2,0.58,1.31,0.27,148.7,0
28,KRW-KAVA,카바,95.5,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.62,2.21,0.19,129.9,0
