순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JTO,지토,771.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.24,0.35,0.69,105.3,50
2,KRW-KAITO,카이토,925.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.61,0.62,0.61,111.6,50
3,KRW-UNI,유니스왑,5625.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.35,0.79,0.41,112.9,50
4,KRW-AWE,에이더블유이,82.4,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.33,0.35,0.35,101.4,50
5,KRW-MMT,모멘텀,288.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.01,2.6,1.64,135.7,30
6,KRW-JST,저스트,140.0,약한매수,2차 진입 (지선 눌림목),대기 및 추세 관망,2,1.03,0.4,0.49,112.2,30
7,KRW-PUMP,펌프펀,3.97,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.13,1.68,1.36,150.7,20
