순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,152.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.39,0.74,0.47,126.1,60
2,KRW-JUP,주피터,284.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.18,0.39,0.39,101.7,50
3,KRW-JTO,지토,721.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.5,0.3,0.34,101.2,50
4,KRW-INJ,인젝티브,7090.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.93,0.76,0.32,111.3,50
5,KRW-ONDO,온도파이낸스,565.0,매수,3차 진입 (상승 추세 진행),1차 진입 (VCP 압축 완료),1,0.39,0.98,0.54,117.6,40
6,KRW-MMT,모멘텀,260.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.48,6.44,15.41,125.3,30
7,KRW-UNI,유니스왑,6060.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.78,1.28,1.29,121.5,0
