순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-INJ,인젝티브,7555.0,강력매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.53,0.78,1.6,122.2,70
2,KRW-JST,저스트,149.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),2,0.23,0.77,0.82,130.0,60
3,KRW-NEAR,니어프로토콜,2724.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.34,0.58,1.1,110.2,50
4,KRW-JUP,주피터,279.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.35,0.72,0.83,100.8,50
5,KRW-PENDLE,펜들,2358.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.43,0.53,0.79,112.8,50
6,KRW-SUN,썬,27.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.26,0.64,0.78,101.4,50
7,KRW-XLM,스텔라루멘,275.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.14,0.45,0.73,105.3,50
8,KRW-WLD,월드코인,561.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.16,0.32,0.5,104.9,50
9,KRW-UNI,유니스왑,5530.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.29,0.38,0.49,111.2,50
10,KRW-ORCA,오르카,1731.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.4,0.17,0.42,100.9,50
11,KRW-HOLO,홀로월드에이아이,97.1,매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.06,1.26,2.88,100.9,40
12,KRW-JTO,지토,921.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),3,0.46,0.26,1.07,134.8,40
13,KRW-MMT,모멘텀,255.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.36,0.41,0.33,127.4,40
14,KRW-ONDO,온도파이낸스,607.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.55,1.25,1.8,130.2,30
15,KRW-AERO,에어로드롬파이낸스,634.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.5,1.44,0.68,103.8,10
