순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-PUMP,펌프펀,6.07,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.2,0.58,0.56,190.6,60
2,KRW-RAY,레이디움,1778.0,매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),1,2.98,23.61,2.67,172.7,50
3,KRW-AERO,에어로드롬파이낸스,839.0,매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.45,1.76,1.91,127.3,50
4,KRW-PLUME,플룸,18.6,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.28,0.61,0.68,105.7,50
5,KRW-PENGU,펏지펭귄,11.1,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.18,0.82,0.61,101.0,50
6,KRW-BTC,비트코인,106907000.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.18,0.86,0.4,104.2,50
7,KRW-ETH,이더리움,3377000.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.11,0.86,0.39,113.7,50
8,KRW-MMT,모멘텀,227.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.24,0.07,0.27,101.6,50
9,KRW-BSV,비트코인에스브이,23070.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.31,0.4,0.21,109.5,50
10,KRW-WLD,월드코인,610.0,매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.17,1.13,1.95,113.2,40
11,KRW-AAVE,에이브,174700.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.19,0.95,0.58,127.9,40
12,KRW-STX,스택스,365.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.12,0.74,0.4,125.3,40
13,KRW-MINA,미나,116.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.57,0.74,0.37,153.2,40
14,KRW-MET2,메테오라,271.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.28,0.73,0.36,116.8,40
15,KRW-SOL,솔라나,141000.0,매수,3차 진입 (상승 추세 진행),1차 진입 (VCP 압축 완료),1,0.12,0.96,0.34,118.1,40
16,KRW-ONG,온톨로지가스,129.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.15,0.43,0.11,141.2,40
17,KRW-JUP,주피터,333.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,2,0.99,4.0,1.34,114.8,30
18,KRW-JST,저스트,141.0,약한매수,1차 진입 (돌파 초입),2차 진입 (피벗 돌파 임박),2,0.74,1.08,0.55,104.8,30
19,KRW-FF,팔콘파이낸스,199.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,1.62,3.21,1.19,179.2,20
20,KRW-LINK,체인링크,16920.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.46,1.03,0.89,127.2,20
21,KRW-PENDLE,펜들,2865.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.82,1.2,0.81,128.1,20
22,KRW-UNI,유니스왑,9310.0,약한매수,3차 진입 (추격 매수 주의),2차 진입 (피벗 돌파 임박),1,1.31,2.4,0.56,176.6,20
23,KRW-POL,폴리곤에코시스템토큰,131.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,0.15,1.29,0.44,104.9,10
24,KRW-ARB,아비트럼,227.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,3.6,5.17,1.31,155.0,0
25,KRW-INJ,인젝티브,8450.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,3,1.44,5.91,0.82,121.1,0
26,KRW-NEAR,니어프로토콜,3156.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.69,2.21,0.73,117.2,0
27,KRW-ENA,에테나,222.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,0.25,1.19,0.57,149.1,0
28,KRW-PYTH,피스네트워크,73.9,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.49,1.1,0.37,115.5,0
